"month","weather","weather1","weather2","weather3"
8,"Rain","Fine","Fine","Fine"
8,"Cloudy","Rain","Fine","Fine"
8,"Fine","Cloudy","Rain","Fine"
8,"Fine","Fine","Cloudy","Rain"
8,"Rain","Fine","Fine","Cloudy"
8,"Fine","Rain","Fine","Fine"
8,"Fine","Fine","Rain","Fine"
8,"Fine","Fine","Fine","Rain"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Fine","Fine","Fine","Fine"
8,"Cloudy","Fine","Fine","Fine"
9,"Fine","Cloudy","Fine","Fine"
9,"Fine","Fine","Cloudy","Fine"
9,"Fine","Fine","Fine","Cloudy"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Rain","Fine","Fine","Fine"
9,"Fine","Rain","Fine","Fine"
9,"Fine","Fine","Rain","Fine"
9,"Cloudy","Fine","Fine","Rain"
9,"Fine","Cloudy","Fine","Fine"
9,"Cloudy","Fine","Cloudy","Fine"
9,"Cloudy","Cloudy","Fine","Cloudy"
9,"Cloudy","Cloudy","Cloudy","Fine"
9,"Fine","Cloudy","Cloudy","Cloudy"
9,"Fine","Fine","Cloudy","Cloudy"
9,"Rain","Fine","Fine","Cloudy"
9,"Cloudy","Rain","Fine","Fine"
9,"Fine","Cloudy","Rain","Fine"
9,"Fine","Fine","Cloudy","Rain"
9,"Fine","Fine","Fine","Cloudy"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
9,"Fine","Fine","Fine","Fine"
10,"Rain","Fine","Fine","Fine"
10,"Fine","Rain","Fine","Fine"
10,"Fine","Fine","Rain","Fine"
10,"Fine","Fine","Fine","Rain"
10,"Cloudy","Fine","Fine","Fine"
10,"Fine","Cloudy","Fine","Fine"
10,"Fine","Fine","Cloudy","Fine"
10,"Fine","Fine","Fine","Cloudy"
10,"Fine","Fine","Fine","Fine"
10,"Fine","Fine","Fine","Fine"
10,"Fine","Fine","Fine","Fine"
10,"Fine","Fine","Fine","Fine"
